reason,xml_file,source_corpus,wav_file,start,end,start_sample,end_sample,audio_total_samples,error
zero_length_segment,MYUC-1042.xml,whole-utterance,MYUC-1042.wav,494.979,494.936,7919664,7918976,13127263,
zero_length_segment,MYUC-1042.xml,whole-utterance,MYUC-1042.wav,508.858,508.824,8141728,8141184,13127263,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
no_audio,vocab-20180914-Tisu.xml,whole-utterance,vocab-20180914-Tisu.wav,,,,,,
zero_length_segment,ADJ_tall_1st_pl_01_JS.xml,sentence-level-word,ADJ_tall_1st_pl_01_JS.wav,6.0,8.0,96000,128000,19885,
zero_length_segment,ADJ_tall_1st_pl_01_JS.xml,sentence-level-word,ADJ_tall_1st_pl_01_JS.wav,8.0,12.0,128000,192000,19885,
zero_length_segment,ADJ_tall_1st_sg_01_JS.xml,sentence-level-word,ADJ_tall_1st_sg_01_JS.wav,6.0,10.0,96000,160000,10647,
zero_length_segment,ADJ_tall_1st_sg_01_JS.xml,sentence-level-word,ADJ_tall_1st_sg_01_JS.wav,1.0,6.0,16000,96000,10647,
zero_length_segment,ADJ_tall_2nd_sg_form_01_JS.xml,sentence-level-word,ADJ_tall_2nd_sg_form_01_JS.wav,7.0,11.0,112000,176000,16032,
zero_length_segment,ADJ_tall_2nd_sg_inf_01_JS.xml,sentence-level-word,ADJ_tall_2nd_sg_inf_01_JS.wav,6.0,10.0,96000,160000,15117,
zero_length_segment,ADJ_tall_2nd_sg_inf_01_JS.xml,sentence-level-word,ADJ_tall_2nd_sg_inf_01_JS.wav,1.0,6.0,16000,96000,15117,
zero_length_segment,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.xml,sentence-level-word,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.wav,4.0,30.0,64000,480000,38074,
zero_length_segment,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.xml,sentence-level-word,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.wav,13.0,31.0,208000,496000,38074,
zero_length_segment,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.xml,sentence-level-word,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.wav,10.0,13.0,160000,208000,38074,
zero_length_segment,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.xml,sentence-level-word,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.wav,22.0,32.0,352000,512000,38074,
zero_length_segment,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.xml,sentence-level-word,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.wav,19.0,22.0,304000,352000,38074,
zero_length_segment,ADPOS-CONFG_below-under-south_01_02_spkrTS.xml,sentence-level-word,ADPOS-CONFG_below-under-south_01_02_spkrTS.wav,6.0,19.0,96000,304000,31011,
zero_length_segment,ADPOS-CONFG_below-under-south_01_02_spkrTS.xml,sentence-level-word,ADPOS-CONFG_below-under-south_01_02_spkrTS.wav,8.0,14.0,128000,224000,31011,
zero_length_segment,ADPOS-CONFG_below-under-south_01_02_spkrTS.xml,sentence-level-word,ADPOS-CONFG_below-under-south_01_02_spkrTS.wav,14.0,20.0,224000,320000,31011,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,13.0,17.0,208000,272000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,7.0,13.0,112000,208000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,17.0,60.0,272000,960000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,19.0,25.0,304000,400000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,34.0,61.0,544000,976000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,30.0,34.0,480000,544000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,25.0,30.0,400000,480000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,37.0,43.0,592000,688000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,48.0,52.0,768000,832000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,52.0,62.0,832000,992000,69886,
zero_length_segment,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.xml,sentence-level-word,CMND_come_DEIXS_LOC_1st_sg_01_02_03_spkrTS.wav,43.0,48.0,688000,768000,69886,
zero_length_segment,CMND_come_down_01_02_03_TS.xml,sentence-level-word,CMND_come_down_01_02_03_TS.wav,5.0,25.0,80000,400000,65902,
zero_length_segment,CMND_come_down_01_02_03_TS.xml,sentence-level-word,CMND_come_down_01_02_03_TS.wav,12.0,26.0,192000,416000,65902,
zero_length_segment,CMND_come_down_01_02_03_TS.xml,sentence-level-word,CMND_come_down_01_02_03_TS.wav,8.0,12.0,128000,192000,65902,
zero_length_segment,CMND_come_down_01_02_03_TS.xml,sentence-level-word,CMND_come_down_01_02_03_TS.wav,15.0,19.0,240000,304000,65902,
zero_length_segment,CMND_come_down_01_02_03_TS.xml,sentence-level-word,CMND_come_down_01_02_03_TS.wav,19.0,27.0,304000,432000,65902,
zero_length_segment,CONFIG-body_parts-back_butt_01_02_03_TS.xml,sentence-level-word,CONFIG-body_parts-back_butt_01_02_03_TS.wav,37.0,43.0,592000,688000,258560,
zero_length_segment,CONFIG-body_parts-back_butt_01_02_03_TS.xml,sentence-level-word,CONFIG-body_parts-back_butt_01_02_03_TS.wav,22.0,25.0,352000,400000,258560,
zero_length_segment,CONFIG-body_parts-back_butt_01_02_03_TS.xml,sentence-level-word,CONFIG-body_parts-back_butt_01_02_03_TS.wav,43.0,99.0,688000,1584000,258560,
zero_length_segment,CONFIG-body_parts-back_butt_01_02_03_TS.xml,sentence-level-word,CONFIG-body_parts-back_butt_01_02_03_TS.wav,32.0,37.0,512000,592000,258560,
zero_length_segment,CONFIG-body_parts-back_butt_01_02_03_TS.xml,sentence-level-word,CONFIG-body_parts-back_butt_01_02_03_TS.wav,25.0,32.0,400000,512000,258560,
